Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turnaround Time
1,0.18,0.18,0,0.3,0,0.12
2,9.03,9.03,0,16.98,0,7.95
3,9.91,16.98,0,18.35,7.07,8.44
4,10.2,18.35,0,25.05,8.15,14.85
5,10.85,25.05,0,25.65,14.2,14.8
6,11.81,25.65,0,27.5,13.84,15.69
7,12.46,27.5,0,29.66,15.04,17.2
8,13.72,29.66,0,30.23,15.94,16.51
9,13.94,30.23,0,34.36,16.29,20.42
10,18.16,34.36,0,34.86,16.2,16.7
11,21.98,34.86,0,35.29,12.88,13.31
12,22.72,35.29,0,37.24,12.57,14.52
13,24.35,37.24,0,40.36,12.89,16.01
14,25.96,40.36,0,41.36,14.4,15.4
15,26.96,41.36,0,42.04,14.4,15.08
16,27.85,42.04,0,43.18,14.19,15.33
17,27.96,43.18,0,45.1,15.22,17.14
18,29.57,45.1,0,45.87,15.53,16.3
19,29.88,45.87,0,46.25,15.99,16.37
20,30.29,46.25,0,46.38,15.96,16.09
21,33.92,46.38,0,46.92,12.46,13
22,34.92,46.92,0,51.42,12,16.5
23,37.95,51.42,0,51.42,13.47,13.47
24,38.84,51.42,0,54.21,12.58,15.37
25,39.53,54.21,0,54.44,14.68,14.91
26,41.63,54.44,0,54.99,12.81,13.36
27,42.5,54.99,0,61.6,12.49,19.1
28,45.37,61.6,0,63.23,16.23,17.86
29,47.01,63.23,0,63.94,16.22,16.93
30,51.23,63.94,0,67.91,12.71,16.68
31,55.49,67.91,0,70.9,12.42,15.41
32,56.96,70.9,0,71.73,13.94,14.77
33,56.98,71.73,0,73.89,14.75,16.91
34,60.45,73.89,0,74.32,13.44,13.87
35,60.82,74.32,0,74.37,13.5,13.55
36,61.57,74.37,0,77.07,12.8,15.5
37,62.55,77.07,0,79.91,14.52,17.36
38,66.02,79.91,0,83.27,13.89,17.25
39,67.97,83.27,0,87.46,15.3,19.49
40,71.19,87.46,0,87.7,16.27,16.51
41,79.96,87.7,0,89.09,7.74000000000001,9.13000000000001
42,80.12,89.09,0,92.22,8.97,12.1
43,80.19,92.22,0,95.76,12.03,15.57
44,83.13,95.76,0,98.31,12.63,15.18
45,86.62,98.31,0,100.48,11.69,13.86
46,88.99,100.48,0,100.49,11.49,11.5
47,89.77,100.49,0,103.35,10.72,13.58
48,90.02,103.35,0,104.9,13.33,14.88
49,92.98,104.9,0,105.01,11.92,12.03
50,93.52,105.01,0,107.7,11.49,14.18
51,97.49,107.7,0,108.34,10.21,10.85
52,98.08,108.34,0,109.02,10.26,10.94
53,98.81,109.02,0,109.04,10.21,10.23
54,101.19,109.04,0,109.47,7.85000000000001,8.28
55,102.02,109.47,0,111.53,7.45,9.51000000000001
56,102.77,111.53,0,112.21,8.76000000000001,9.44
57,105.62,112.21,0,113.05,6.58999999999999,7.42999999999999
58,105.65,113.05,0,113.49,7.39999999999999,7.83999999999999
59,107.18,113.49,0,113.59,6.30999999999999,6.41
60,107.74,113.59,0,114.02,5.85000000000001,6.28
61,109.86,114.02,0,120.31,4.16,10.45
62,109.95,120.31,0,120.43,10.36,10.48
63,113.07,120.43,0,120.44,7.36000000000001,7.37
64,113.35,120.44,0,121.1,7.09,7.75
65,115.31,121.1,0,121.13,5.78999999999999,5.81999999999999
66,115.72,121.13,0,122.24,5.41,6.52
67,117.27,122.24,0,122.66,4.97,5.39
68,117.69,122.66,0,122.78,4.97,5.09
69,122.8,122.8,0,124.39,0,1.59
70,123.91,124.39,0,125.98,0.480000000000004,2.07000000000001
71,126.12,126.12,0,130.17,0,4.04999999999998
72,129.76,130.17,0,131.83,0.409999999999997,2.07000000000002
73,129.95,131.83,0,131.95,1.88000000000002,2
74,130.92,131.95,0,132.71,1.03,1.79000000000002
75,133.39,133.39,0,134.25,0,0.860000000000014
76,133.49,134.25,0,135.5,0.759999999999991,2.00999999999999
77,133.81,135.5,0,137.36,1.69,3.55000000000001
78,136.01,137.36,0,137.82,1.35000000000002,1.81
79,139.99,139.99,0,141.31,0,1.31999999999999
80,140.26,141.31,0,147.56,1.05000000000001,7.30000000000001
81,140.82,147.56,0,147.63,6.74000000000001,6.81
82,140.87,147.63,0,148.5,6.75999999999999,7.63
83,141.89,148.5,0,153.03,6.61000000000001,11.14
84,147.84,153.03,0,153.87,5.19,6.03
85,149.47,153.87,0,153.96,4.40000000000001,4.49000000000001
86,149.74,153.96,0,154.85,4.22,5.10999999999999
87,152.25,154.85,0,156.43,2.59999999999999,4.18000000000001
88,154.06,156.43,0,157.03,2.37,2.97
89,154.2,157.03,0,157.72,2.83000000000001,3.52000000000001
90,154.96,157.72,0,158.17,2.75999999999999,3.20999999999998
91,157.98,158.17,0,162.94,0.189999999999998,4.96000000000001
92,158.59,162.94,0,163.35,4.34999999999999,4.75999999999999
93,162.77,163.35,0,164.08,0.579999999999984,1.31
94,163,164.08,0,169.69,1.08000000000001,6.69
95,163.83,169.69,0,170.67,5.85999999999999,6.83999999999998
96,164.04,170.67,0,172.73,6.63,8.69
97,166.98,172.73,0,173.27,5.75,6.29000000000002
98,168.61,173.27,0,179.67,4.66,11.06
99,169.04,179.67,0,181.18,10.63,12.14
100,169.66,181.18,0,182.25,11.52,12.59
101,170.9,182.25,0,183.67,11.35,12.77
102,171.19,183.67,0,187.66,12.48,16.47
103,171.78,187.66,0,188.09,15.88,16.31
104,172.8,188.09,0,190.95,15.29,18.15
105,177.77,190.95,0,193.33,13.18,15.56
106,178.09,193.33,0,195.59,15.24,17.5
107,180.36,195.59,0,197.81,15.23,17.45
108,181.75,197.81,0,198.24,16.06,16.49
109,182.7,198.24,0,198.79,15.54,16.09
110,182.77,198.79,0,201.11,16.02,18.34
111,184.3,201.11,0,201.27,16.81,16.97
112,184.75,201.27,0,201.84,16.52,17.09
113,185.73,201.84,0,203.2,16.11,17.47
114,186.11,203.2,0,203.89,17.09,17.78
115,187.45,203.89,0,205.58,16.44,18.13
116,188.33,205.58,0,208.12,17.25,19.79
117,190.05,208.12,0,208.34,18.07,18.29
118,192.23,208.34,0,209.3,16.11,17.07
119,193.12,209.3,0,210.36,16.18,17.24
120,194.47,210.36,0,210.68,15.89,16.21
121,196.7,210.68,0,211.14,13.98,14.44
122,198.49,211.14,0,213.41,12.65,14.92
123,200.96,213.41,0,213.94,12.45,12.98
124,202.72,213.94,0,214.57,11.22,11.85
125,202.78,214.57,0,218.62,11.79,15.84
126,203.13,218.62,0,219.2,15.49,16.07
127,205.58,219.2,0,219.86,13.62,14.28
128,206.33,219.86,0,221.48,13.53,15.15
129,206.97,221.48,0,222.33,14.51,15.36
130,209.24,222.33,0,228.3,13.09,19.06
131,209.51,228.3,0,230.04,18.79,20.53
132,210.08,230.04,0,232.16,19.96,22.08
133,213.12,232.16,0,232.72,19.04,19.6
134,215.07,232.72,0,233.71,17.65,18.64
135,217.02,233.71,0,238.8,16.69,21.78
136,218.34,238.8,0,240.81,20.46,22.47
137,222.49,240.81,0,242.87,18.32,20.38
138,223.48,242.87,0,245.4,19.39,21.92
139,223.79,245.4,0,248.53,21.61,24.74
140,227.7,248.53,0,249.65,20.83,21.95
141,227.79,249.65,0,250.77,21.86,22.98
142,231.73,250.77,0,251.49,19.04,19.76
143,234.2,251.49,0,252.28,17.29,18.08
